question_no,question,correct_option,correct_answer,option_a,option_b,option_c,option_d
119,"Mr. Kapoor purchased a residential house in January, 2021 for ₹ 80,00,000. He sold the house in April, 2022 for ₹ 94,00,000. In this case the gain of ₹ 14,00,000 arising on account of sale of residential house will be charged to tax under which of the following head?",A,Income from capital gains,Income from capital gains,Income from house property,Income from profits and gains from business or profession,Income from other sources
120,"A person who has ultimate control over the affairs of the factory under Factories Act, 1948 is called as _________.",B,Managing Director,Occupier,Managing Director,Chairman,Manager
121,"If the factory employs more than 1000 workers, they should appoint qualified ________ to carry out the prescribed duties.",B,Welfare officer,Safety officer,Welfare officer,Development officer,None of these
122,"B, the proprietor of a newspaper, publishes at A's request, a libel upon C in the paper, and A agrees to indemnify B against the consequences of the publication, and all costs and damages of any action in respect thereof. B is sued by C and has to pay damages. Decide in the light of the Section 224 of the Indian Contract Act, 1872.",B,A is liable to B upon indemnity.,A is not liable to B upon indemnity.,A is liable to B upon indemnity.,A is not liable to C upon indemnity.,None of these
123,"A person whom the agent names to act for the principal in the business of agency, under the express or implied authority to name, is called _________.",C,Agent,Sub-agent,Substituted Agent,Agent,Procured Agent
124,"A _________ injunction can only be granted by the decree made at the hearing and upon the merits of the suit; the defendant is thereby perpetually enjoined from, the assertion of a right, or from the commission of an act, which could be contrary to the rights of the plaintiff.",C,Both Temporary and Perpetual,Temporary,Perpetual,Both Temporary and Perpetual,None of these
125,"According to Section 5 of Specific Relief Act, 1963 a person entitled to the possession of specific immovable property may recover it in the manner provided in _________.",B,The Code of Civil Procedure 1908,The Specific Relief Act 1963,The Code of Civil Procedure 1908,The Code of Criminal Procedure 1973,The Transfer of Property Act 1882
126,"Where the mortgagor delivers possession of the mortgaged property to the mortgagee, and authorises him to retain such possession until payment of the mortgage-money, and to receive the rents and profits accruing from the property in lieu of interest, or in payment of the mortgage-money, the transaction is called an _________ mortgage.",C,Simple,Conditional,English,Simple,Usufructuary
127,"Mr. Manjot is a trader supplying goods from his M/s Singh Traders. The office of the firm is located in Delhi whereas its godowns are located in the State of Uttar Pradesh, Punjab and Jammu & Kashmir (J&K) respectively. M/s Singh Traders made following intra-state supplies from different States during the current financial year: (i) Delhi – Taxable Supplies : ₹ 21,00,000 (ii) Punjab – Exempted Supplies : ₹ 6,00,000 (iii) Uttar Pradesh- Taxable and Exempted Supplies : ₹ 3,00,000 each respectively. (iv) J&K – Taxable and Exempted Supplies : ₹ 8,00,000 and ₹ 3,00,000 respectively. Ascertain the States in which Mr. Manjot is required to take registration under GST.",C,Delhi and Uttar Pradesh,Delhi Punjab Uttar Pradesh and J&K,Delhi Uttar Pradesh and J&K,Delhi and Uttar Pradesh,Delhi
128,The primary GST slabs for any regular taxpayers are presently pegged at,C,0% 5% 12% 18% 28%,0% 5% 12% 18% 26%,0% 6% 12% 18% 28%,0% 5% 12% 18% 28%,0% 5% 12% 16% 28%
129,"Which of the following is not a Negotiable Instrument as defined under The Negotiable Instrument Act, 1881?",D,Billing Receipt,Promissory Note,Bill of Exchange,Cheque,Billing Receipt
130,"'Specified person' under Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013 means any person other than _________.",A,appropriate Government,appropriate Government,Government company,association of persons or trust or society wholly or partially aided by the appropriate Government or controlled by the appropriate Government,All of these
131,"Who shall be the Registrar of Trade Marks for the purposes of Trade Marks Act, 1999?",D,Director-General of Copyright Designs and Trade Marks,Controller-General of Patents Designs and Trade Marks,Controller-General of Copyright Designs and Trade Marks,Director-General of Patents Designs and Trade Marks,Director-General of Copyright Designs and Trade Marks
132,Which one of the following is not a type/s of IPR?,D,Historical Indications,Copyright,Patents,Designs,Historical Indications
133,In which of the following cases it was decided that a contract with minor is void?,A,Carlill V. Carbolic Smokes Ball Co,Carlill V. Carbolic Smokes Ball Co,Chinnaih V. Ramaiah,Mohori Bibee V. Dharmodas Ghose,Harvey V. Facey
134,"By which of the following Amendment Act of 1985, Anti Defection Law was added in the Constitution of India?",A,52nd Constitutional Amendment,51st Constitutional Amendment,52nd Constitutional Amendment,53rd Constitutional Amendment,54th Constitutional Amendment
135,"In which one of the following cases the Supreme Court decided that, a constitutional amendment is a 'law' within the meaning of Article 13(2) and therefore if it violates any of the fundamental rights it may be declared void?",D,Golak Nath V. State of Punjab,Sajjan Singh V. State of Rajasthan,Keshvananda Bharati V. State of Kerala,Indra Sawhney V. Union of India,Golak Nath V. State of Punjab
136,Uniform Civil Code in India is:,B,Directive Principles of State Policy,Fundamental Rights,Directive Principles of State Policy,Government Policy,Constitutional Right
137,"As per Article 16, No citizen shall, on grounds only of _________ or any of them, be ineligible for, or discriminated against in respect of, any employment or office under the State.",A,religion race caste sex descent place of birth residence,religion race caste sex descent place of birth residence,religion age caste sex descent place of birth residence,religion race age sex descent place of birth residence,religion race caste sex descent place of birth age
138,The minimum number of Judges who are to sit for the purpose of deciding any case involving a substantial question of law as to the interpretation of this Constitution or for the purpose of hearing any reference under Article 143 shall be _________.,D,5,2,3,4,5
139,"According to the Article 300A of the Constitution of India, No _________ shall be deprived of his property save by authority of law.",A,person,person,citizen,foreigner,Indian
140,Which of the following is not 'Law' according to Article 13 of Indian Constitution?,C,Custom or usage,Rule,By-laws,Custom or usage,None of these
141,"Which of the following Schedule deals with Union list, State list and Concurrent list in Constitution of India?",D,Schedule 7,Schedule 7,Schedule 10,Schedule 11,Schedule 12
142,The title of the Constitution of India is laid down in_____.,D,Article 393,Article 1,Article 5,Article 390,Article 393
143,Constitutional provisions of Fundamental Rights (FRs) are given under which part of Constitution of India?,A,Part III,Part I,Part II,Part III,Part IV
144,Provisions for Right of Private Defence is given between _________ of IPC.,B,Sections 96-106,Sections 74-84,Sections 96-106,Sections 107-120,Sections 141-160
145,The consent is not a valid consent under Section 90 of IPC:,D,All of these,If given under fear of injury or misconception of fact.,If given by person of unsound mind.,If given by child below 12 years of age.,All of these
146,Causing of the death of child in the mother's womb is not homicide as provided under,B,Explanation III to Section 299,Explanation III to Section 300,Explanation III to Section 299,Explanation III to Section 301,Explanation III to Section 302
147,Punishment for Defamation under Indian Penal Code is simple imprisonment for a term which may extend to _________ or with fine or with both.,D,5 Years,2 Years,3 Years,4 Years,5 Years
148,Assault or criminal force to women with intent to outrage her modesty under IPC is which kind of offence?,D,Non-Cognizable and Non-Bailable,Non-Cognizable and Bailable,Cognizable and Bailable,Cognizable and Non-Bailable,Non-Cognizable and Non-Bailable
149,"'A' places men with firearms at the outlets of a building and tells 'Z', that they will fire at 'Z', if 'Z' attempts to leave the building. 'A' is guilty of:",C,Both wrongful confinement and wrongful restraint,wrongful confinement,wrongful restraint,Both wrongful confinement and wrongful restraint,None of these
150,The provision of 'Plea Bargaining' under chapter XXIA of CrPC are not applicable if the offence is committed against a child below the age of _____.,A,12 years,12 years,14 years,16 years,18 years
151,"Under Section 82 and 83 of Indian Penal Code, an offence is punishable if it is done by a child",B,of above seven years of age but below twelve years having attained sufficient maturity and understanding.,of below seven years of age.,of above seven years of age but below twelve years having attained sufficient maturity and understanding.,of above seven years of age but below ten years having attained sufficient maturity and understanding.,of above seven years of age but below twelve years not having attained sufficient maturity and understanding.
152,Name two essential conditions of Penal Liability.,B,Guilty Intent & Wrong Motive,Guilty Body & Rightful Act,Guilty Intent & Wrong Motive,Guilty Mind & Wrongful Act,Guilty Motive and Wrongful Act
153,Which Sections deal with the processes to compel appearance under Code of Criminal Procedure 1973?,A,Sections 61 to 90,Sections 61 to 90,Sections 154 to 173,Sections 211 to 219,Sections 274 to 282
154,"An offence for which, a police officer may arrest a person without warrant is known as",C,Bailable offence,Non-cognizable offence,Cognizable offence,Bailable offence,None of these
155,"In a summons trial case instituted on a complaint wherein the summons has been issued to the accused, the non-appearance or death of the complainant shall entail _________.",B,Acquittal of the accused,Discharge of the accused,Acquittal of the accused,Either discharge or acquittal depending on the facts & circumstances of the case,None of these
156,Suppose F.I.R. is not registered by the Station House Officer. What are the options that the complainant has?,D,Both (Approach Superintendent of Police) & (Approach Magistrate by filing Private Complaint),Approach Superintendent of Police,Approach Magistrate by filing Private Complaint,None of these,Both (Approach Superintendent of Police) & (Approach Magistrate by filing Private Complaint)
157,"Any police officer making an investigation under Section 160 of CrPC cannot require the attendance of a male, at a place other than the place of his residence who is",C,under the age of 15 years and above the age of 65 years,under the age of 15 years and above the age of 60 years,under the age of 18 years and above the age of 60 years,under the age of 15 years and above the age of 65 years,under the age of 18 years and above the age of 65 years
158,"Section 125 of the Criminal Procedure Code is SECULAR"" in character was observed in which of the following case?""",B,Arnesh Kumar's Case,Lalita Kumari V. State of Uttar Pradesh,Arnesh Kumar's Case,Mohd. Ahmed Khan V. Shah Bano Begum,Selvy V. State of Karnataka
159,Who has the power of summary trial of a case?,B,Metropolitan Magistrate,Chief Judicial Magistrate,Metropolitan Magistrate,Any Magistrate of first class specially empowered by the High Court,All of these
160,Which Order of Civil Procedure Code deals with Temporary Injunction and Interlocutory Injunction?,B,Order 39,Order 38,Order 39,Order 40,Order 41
161,"A is a tradesman in Ahmedabad, B carries on business in Delhi. B, by his agent in Ahmedabad, buys goods of A and requests A to deliver them to the Western Roadway Transport Company. A delivers the goods accordingly in Ahmedabad. A may sue B for the price of the goods",B,In Delhi only,In Ahmedabad only,In Delhi only,In either Ahmedabad or Delhi,Anywhere in India
162,Which of the following Section of Civil Procedure Code deals with the concept of Res Judicata?,C,Section 12,Section 10,Section 11,Section 12,Section 13
163,"Mr. X, Mr. Y and Mr. Z are jointly and severally liable for ₹ 10,000 under a decree obtained by Mr. A. Mr. Y obtains a decree for ₹ 10,000 against Mr. A singly and applies for execution to the Court in which the joint-decree is being executed. Which of the following option is correct for Mr. A?",C,Mr. A cannot treat his joint-decree as cross-decree under Order 21 Rule 18.,Mr. A may treat his joint-decree as cross-decree under Order 21 Rule 18.,Mr. A cannot treat his joint-decree as cross-decree under Order 21 Rule 18.,Mr. A cannot treat his joint-decree as cross-decree under Order 22 Rule 18.,None of these
164,"A, B and C are coparceners of Joint Hindu Family. They jointly execute a mortgage in favour of Y. Y files a suit against all of them. Summons is served to C but not to A and B. None of them appears and an ex parte decree is passed against all. A and B applied to set aside the ex parte decree. The decree will be set aside against",D,None of these,Only C,Only A & B,A B and C,None of these
165,"If someone lies before the court on affidavit, how it can be tackled by the Advocate/s?",B,Withdraw from the case.,Perjury Application can be filed.,Withdraw from the case.,File application to support that.,Pay the fine for the same.
166,"Proclamation for person absconding shall be published as follows: (i) It shall be publicly read in some conspicuous place of the town or village in which such person ordinarily resides; (ii) It shall be affixed to some conspicuous part of the house or homestead in which such person ordinarily resides or to some conspicuous place of such town or village; (iii) A copy thereof shall be affixed to some conspicuous part of the Court-house; (iv) The Court may also, if it thinks fit, direct a copy of the proclamation to be published in a daily newspaper circulating in the place in which such person ordinarily resides.",D,All i ii iii iv are correct.,Only ii iii iv are correct.,Only ii and iii are correct.,Only i iii iv are correct.,All i ii iii iv are correct.
167,Which of the following statement is incorrect?,A,First appeal can be on question of fact or law or both.,First appeal can be on question of fact or law or both.,Second appeal can be on substantial question of law only.,Second appeal can be on question of fact or law or both.,First appeal may or may not be in the High Court Second appeal has to be in the High Court.
168,"As per Order VI, Pleading shall mean?",A,Plaint,Plaint,Written Statement,Both Plaint and Written Statement,None of these
169,The doctrine of 'Res Gestae' has been discussed in which Section of the Evidence Act?,A,Section 6,Section 5,Section 6,Section 10,Section 11
170,"When the liability of a person who is one of the parties to the suit depends upon the liability of a stranger to the suit, then an admission by the stranger in respect of his liability shall be an admission on the part of that person who is a party to the suit. It has been so provided under which Section of the Indian Evidence Act, 1872?",B,Section 18,Section 17,Section 18,Section 19,Section 21
171,Judicial Evidence means,A,Evidence received by Courts in proof or disproof of facts,Evidence received by Courts in proof or disproof of facts,Evidence received by Police Officer,Evidence received by Home Department,Evidence received by Tribunal.
172,"Which of the following is not a 'document' according to the Indian Evidence Act, 1872?",C,A caricature,An inscription on a metal plate or stone,A map or plan,A caricature,None of these
173,"Presumptions as to Dowry Deaths"" is given under which Section?""",A,113A,113A,113B,114A,114B
174,"Which of the following is not 'Secondary evidence' as per Section 63 of Indian Evidence Act, 1872?",D,Copies not certified under Section 63.,"Copies made from the original by mechanical processes which in themselves insure the accuracy of the copy, and copies compared with such copies.",Copies made from or compared with the original.,Oral accounts of the contents of a document given by some person who has himself seen it.,Copies not certified under Section 63.
175,"Which of the following provision of Civil Procedure Code, 1908 deals with the Institution of Suits?",C,Section 26,Section 22,Section 24,Section 26,Section 28
176,"Defendant shall, within _________ days from the date of service of summon on him, present a Written Statement of his defence (ORDER VIII).",A,30,15,30,60,45
177,The Arbitral Tribunal shall not be bound by _________ in the determination of rules of procedure.,D,"Both, (The Code of Civil Procedure, 1908) and (The Indian Evidence Act, 1872)",The Code of Civil Procedure 1908,The Indian Evidence Act 1872,The Code of Criminal Procedure 1973,"Both, (The Code of Civil Procedure, 1908) and (The Indian Evidence Act, 1872)"
178,"Under Section 29 of The Arbitration And Conciliation Act, 1996 arbitral proceedings with more than one arbitrator, any decision of the arbitral tribunal _______.",D,shall be made by majority of its members,shall be made by all members,shall be made by 2/3 majority of its members,shall be made by the chief arbitrator,shall be made by majority of its members
179,"In contemporary literature, how is the relationship between character and setting described in the passage?",B,It is a complex interplay where the setting influences the plot and character development.,It is non-existent; characters and settings are entirely separate entities.,It is a complex interplay where the setting influences the plot and character development.,Characters and settings are interchangeable.,Settings are insignificant in contemporary literature.
180,"In the novel, The Namesake by Jhumpa Lahiri, what does the barren desert landscape symbolize?",B,The protagonist's sense of isolation and identity crisis.,A thriving community.,The protagonist's sense of isolation and identity crisis.,"A lush, vibrant setting.","A happy, carefree life."
181,What role does the Scottish moors play in Shakespeare's Macbeth?,C,It is an ever-present omen of impending tragedy.,"It serves as a beautiful, serene landscape.",It has no influence on the characters' actions.,It is an ever-present omen of impending tragedy.,It is a place for the characters to relax.
182,"What does the term ""interplay"" refer to in the context of the passage?",B,A complex relationship where the setting influences the narrative.,A lack of interaction between characters and setting.,A complex relationship where the setting influences the narrative.,An insignificant connection between characters and setting.,A complete separation of characters and setting.
183,Which of the following words best describes the setting in The God of Small Things?,B,Lush and vibrant.,Boring.,Lush and vibrant.,Insignificant.,Dark and foreboding.
184,What is the main theme discussed in the passage?,C,"In literature, settings can be as influential as characters in shaping the narrative.",The characters in contemporary literature are not influenced by their settings.,Setting in literature is unimportant.,"In literature, settings can be as influential as characters in shaping the narrative.",Settings have no role in character development.
185,What is the central thesis of the above extract?,B,The imagination of justice for the rich and poor is vastly different.,The practice of untouchability takes various forms in modern India.,The imagination of justice for the rich and poor is vastly different.,Addressing judge strength and case-load management does not affect the performance of the judicial system.,Protecting the livelihood of traditional taxi drivers is contrary to the goals of ease of doing business.
186,What does the author mean by 'docket-excluded' in the second paragraph?,A,The poor do not have easy access to the justice system.,The poor do not have easy access to the justice system.,Courts do not list bail petitions of poor undertrial prisoners who populate the country's jails.,The poor reject the judicial system as being alien to their language and logic.,"The rich are excluded from the country's prisons, which are mostly populated by the poor."
187,Which of the following words best describes the experience of different segments of people with the justice system as described in the third paragraph?,C,Conflicting,Symbiotic,Affective,Conflicting,Inter-dependent
188,Which of the following statements is the author most likely to agree with?,A,The judicial system reflects the same power relationships as those that exist in society.,The judicial system reflects the same power relationships as those that exist in society.,"Access to the judicial system is determined more by a person's economic status such as wealth and income, than by their social status, such as religion and caste.","The judicial system was made by the rich, for the rich, of the rich.",None of the above.
189,Which of the following statements is the author most likely to disagree with?,B,The Law ensures equality both in text and in practise.,A truly representative democracy would ensure that the interests of the poor are also represented in the judicial system.,The Law ensures equality both in text and in practise.,"The poor suffer most at the hands of lawyers and touts, compared to judges who might still pronounce judgments in their favour from time to time.",All of the above.
190,What makes reform of judicial administration a 'neutral' area?,C,Reforms to judicial administration do not favour one class of people over another.,Persons across socio-economic strata agree on the need to reform judicial administration.,There is consensus among political parties across the ideological and regional spectrum on reforms to judicial administration.,Reforms to judicial administration do not favour one class of people over another.,"Reform of judicial administration is mandated by the Constitution, and thus lies beyond political considerations."
191,"What does the protagonist's preference for ""barrenness"" and ""starkness"" at Carignano suggest about her personality?",B,She values simplicity and minimalism in her surroundings.,She enjoys a bustling and vibrant environment.,She values simplicity and minimalism in her surroundings.,She prefers lush and colorful landscapes.,She seeks constant stimulation and variety in her life.
192,What do you get to know about the protagonist's state of mind from her reaction towards the postman?,B,She dislikes any disturbance or interruption in her solitude.,She feels grateful for his presence and the assistance he offers.,She dislikes any disturbance or interruption in her solitude.,She feels suspicious and is interested in the lives of others.,She is disinterested and generally unaffected by the presence of others.
193,What does the protagonist's desire to be mistaken for a pine tree reveal about her mindset?,D,She yearns to one with nature and escapes from her human identity.,She desires to be appreciated and noticed by others in society.,She has a deep admiration for the beauty of the pine trees.,She feels a sense of superiority over other living beings.,She yearns to one with nature and escapes from her human identity.
194,"The protagonist's description of the nestlings' screams as ""shrill and maddening"" shows that:",Withdrawn,Question withdrawn,Question withdrawn,Question withdrawn,Question withdrawn,Question withdrawn
195,Which of the following statements are true about the protagonist's overall state of mind in Carignano?,D,Only Statement III,Statement I and II,Statement II and III,Only Statement II,Only Statement III
196,"In the light of above passage, what role does nature play in the protagonist's life at Carignano?",B,"It offers her solace, peace, and a sense of belonging.",It provides her with a source of creativity.,"It offers her solace, peace, and a sense of belonging.",It serves as a reminder of the harsh realities of life.,It serves as a constant source of distraction and intrusion for her.
197,Who is often regarded as the greatest playwright in the history of English language?,C,William Shakespeare,Jane Austen,William Wordsworth,William Shakespeare,George Orwell
198,Which of Jane Austen's novels is known for its social commentary and witty portrayal of romance?,B,Sense and Sensibility,Nineteen Eighty-Four,Sense and Sensibility,I Wandered Lonely as a Cloud,The Rime of the Ancient Mariner
199,Who are the Romantic poets mentioned in the passage known for celebrating nature and intense human emotions?,C,William Wordsworth and Samuel Taylor Coleridge,William Shakespeare and Virginia Woolf,George Orwell and Samuel Taylor Coleridge,William Wordsworth and Samuel Taylor Coleridge,Jane Austen and Arundhati Roy
200,What is the title of Virginia Woolf's novel known for its modernist narrative style?,C,Mrs. Dalloway,Pride and Prejudice,Nineteen Eighty-Four,Mrs. Dalloway,The God of Small Things
201,Identify the 20th century novel mentioned in the passage that provides a warning about the dangers of totalitarianism?,A,Nineteen Eighty-Four,Nineteen Eighty-Four,Romeo and Juliet,Sense and Sensibility,I Wandered Lonely as a Cloud
202,What does the passage highlight as the enduring power of English literature?,B,"The diversity of its authors, themes, and styles",Its ability to win literary awards,"The diversity of its authors, themes, and styles",Its ability to captivate and inspire only British readers,The decline of storytelling
203,Which incident is described in the passage?,B,"Jallianwala Bagh Massacre, April 1919","Baisakhi festival at Amritsar, April 1919","Jallianwala Bagh Massacre, April 1919",Congress Protests of April 1919,"Non-Cooperation Movement, April 1919"
204,Why did the General Dyer order to fire on the crowd?,C,To teach the crowd a lesson,To bring the crowd under control,To scatter the crowd,To teach the crowd a lesson,To enforce the martial law
205,"In the light of above passage, what was the intention of the speaker?",B,To expose the deeds of General Dyer,To praise General Dyer,To expose the deeds of General Dyer,To get sympathy for the Indians who died,All of the above
206,"After the incident, who helped the injured and the dying people?",D,Some people who lived nearby,The army,The police,The civil administration,Some people who lived nearby
207,What would be the feelings of the Indian children brought up to the spot?,B,Bitterness about the British rule,Friendliness to the British rule,Bitterness about the British rule,A sense of helplessness,None of the above
208,What was the full name of General Dyer?,C,Reginald Edward Harry Dyer,Reginald Murree Harry Dyer,Reginald Royce Harry Dyer,Reginald Edward Harry Dyer,Reginald Coleman Harry Dyer
209,What was the reason for Hamas-led Palestinian militants' attack on Israel?,A,To retaliate against Israeli settler violence against Palestinians,To retaliate against Israeli settler violence against Palestinians,In response to the desecration of the Western Wall,To protest against the construction of Palestinian settlements in the West Bank,To seek an end to the Gaza Strip blockade
210,What was the reaction of the international community to the killing of Israeli civilians?,A,Condemned as terrorism by 44 countries,Condemned as terrorism by 44 countries,Ignored by most of the countries,Supported by the UN,Praised as a necessary measure by 10 countries
211,Which of the following is not true about the historical context of the Israel Hamas Conflict?,A,The Palestinian refugees started settling under Ottoman rule in the late 19th Century,The Palestinian refugees started settling under Ottoman rule in the late 19th Century,Hamas emerged during the first Intifada in the late 1980s,Hamas was formally known as the Islamic Resistance Movement,First Intifada was a Palestinian uprising against Israeli rule.
212,What has been the response of the Israeli military to the Hamas-led attack?,A,Declared a state of war and launched a ground invasion,Declared a state of war and launched a ground invasion,Conducted an aerial bombardment campaign only,Asked for international intervention,Captured and imprisoned the militants responsible
213,What is the current hostilities known as in the Gaza-Israel conflict?,B,Fifth war,Sixth war,Fifth war,Seventh war,Fourth war
214,Which major war does the current Gaza-Israel conflict resemble?,A,Yom Kippur War,Yom Kippur War,Iraq War,Six-Day War,Gulf War
215,In what did India become the fourth country in the world?,B,Landing a spacecraft on the moon,Sending a spacecraft to the moon,Landing a spacecraft on the moon,Landing a man on the moon,Crashlanding (impacting) a spacecraft on the moon
216,What is the role of Pragyan?,B,"To take photographs of the moon, while moving","To move around the moon, leaving footprints","To take photographs of the moon, while moving",Showing these pictures to the world,To record the laser radiation
217,Name one institution that played a major role in bringing India to the forefront.,C,ISRO,Tata Industries,Indian Oil Corporation,ISRO,Reliance industries
218,What is the name of the moon lander and the rover?,A,Vikram and Pragyan,Vikram and Pragyan,Pragyan-2 and Vikram,Chandrayaan and Vikram,Chandrayaan and Pragyan
219,Whom did the Prime Minister address this to?,D,To the scientists of ISRO,To the people of India,To the world,To the students,To the scientists of ISRO
220,Which of the following countries in the world had touched the surface of the moon?,A,"United States of America, USSR, China, India","United States of America, USSR, China, India","United States of America, Russia, China, India","United States of America, USSR, France, India","United States of America, Russia, Israel, India"
221,The Group of Twenty (G20) is a forum for _______________ Select the correct option.,A,International economic cooperation,International economic cooperation,International peace and security,International cooperation for combating money laundering,All of the above
222,The G20 Summit is hosted by the incumbent 'Presidency'. The G20 Presidency is responsible for bringing together the G20 agenda in consultation with other members and in response to developments in the global economy. Which country will hold the Presidency in 2024?,C,Brazil,India,Indonesia,Brazil,Saudi Arabia
223,Which one of the following countries is not a member of the G20?,A,Egypt,Egypt,Mexico,Republic of Korea,Turkiye
224,"At every G20 summit, the host country invites countries and institutions that are not members of the G20. Which among the following denotes the correct list of countries being G20 invitees to the Summit held in New Delhi in September 2023?",C,"Bangladesh, Singapore, Spain, Netherlands","Nepal, Bangladesh, Egypt, Netherlands","Bhutan, Mauritius, Nigeria, Oman","Bangladesh, Singapore, Spain, Netherlands","Sri Lanka, Egypt, UAE, Mauritius"
225,What is the life of contradiction referred to here?,A,That of equality in politics but inequality in social and economic structure,That of equality in politics but inequality in social and economic structure,That of inequality in politics but equality in social and economic structure,That of inequality in social structure but equality in economic structure,That of equality in politics and economic structure but inequality in social structure
226,"What will happen, according to Dr. Ambedkar, if we continue to deny equality in our social and economic life?",B,Our political democracy will be in danger,There will be no injustice,Our political democracy will be in danger,Equality in social and economic life will be achieved nevertheless,Our social and economic life will be in peril
227,"What might be the cause, according to Dr. Ambedkar, if things go wrong under the new Constitution?",C,That the men called upon to work the Constitution were not good,That the Constitution was ignored,That the men called upon to work the Constitution were good,That the men called upon to work the Constitution were not good,That the Constitution was bad and failed the people
228,What does social democracy mean?,C,Equality in social life,Equality before the Law,Equality of opportunities,Equality in social life,Equality in economic life
229,When does a bad Constitution turnout to be good?,A,When the people called upon to work it are good,When the people called upon to work it are good,When the people called upon to work it are bad,When the Constitution is amended,None of the above
230,Which of the following statement is not correct about what Dr. B.R. Ambedkar feel about the constitution?,C,The Constitution is strong enough to hold the country together in peacetime only,The Constitution is workable,The Constitution is flexible,The Constitution is strong enough to hold the country together in peacetime only,The Constitution is strong enough to hold the country together both in peacetime and in wartime
231,"What is the primary objective of the Juvenile Justice (Care and Protection of Children) Act, 2015?",B,To rehabilitate and reintegrate children in conflict with the law.,To punish child offenders.,To rehabilitate and reintegrate children in conflict with the law.,To remove all forms of violence against children.,To increase the age of criminal responsibility.
232,Who makes up the Juvenile Justice Board (JJB)?,C,A Metropolitan Magistrate or Judicial Magistrate of the first class and two Social Workers.,Two Judges.,A Metropolitan Magistrate and two Lawyers.,A Metropolitan Magistrate or Judicial Magistrate of the first class and two Social Workers.,Three Police Officers.
233,What is the role of the Juvenile Justice Board (JJB)?,C,"To assess the age and circumstances of the juvenile, and make decisions on rehabilitation.",To determine the punishment for juvenile offenders.,To decide whether a child should be sent to a regular prison.,"To assess the age and circumstances of the juvenile, and make decisions on rehabilitation.",To prosecute child offenders.
234,"What is the distinction between a ""child in conflict with the law"" and a ""child in need of care and protection"" ?",B,"A ""child in conflict with the law"" has committed a crime, while a ""child in need of care and protection"" is vulnerable or at risk.",There is no distinction; both terms mean the same thing.,"A ""child in conflict with the law"" has committed a crime, while a ""child in need of care and protection"" is vulnerable or at risk.","A ""child in need of care and protection"" is more likely to commit crimes.","A ""child in conflict with the law"" is an adolescent offender."
235,Under what circumstances can children between the ages of 16 and 18 be tried as adults?,B,After a preliminary assessment by the Juvenile Justice Board.,They can always be tried as adults.,After a preliminary assessment by the Juvenile Justice Board.,"When they have committed any offense, regardless of the severity.",When they reach the age of 18.
236,What is the purpose of placing restrictions on the publication of information related to juvenile offenders?,B,To protect the privacy and future prospects of the child.,To increase the age of criminal responsibility.,To protect the privacy and future prospects of the child.,To encourage public shaming of juvenile offenders.,To help law enforcement track juvenile offenders.
237,What is the primary focus of the passage?,B,The legal aspects of online defamation in India.,The rise of social media in India.,The legal aspects of online defamation in India.,The role of intermediaries in online content.,The importance of free speech on the internet.
238,"What is online defamation, as described in the passage?",B,False statements made on the internet that harm someone's reputation.,Making harmful statements about someone in person.,False statements made on the internet that harm someone's reputation.,Online harassment.,A form of political activism.
239,"What is the significance of Section 79 of the Information Technology Act, 2000, as mentioned in the passage?",B,It provides safe harbor for intermediaries in cases of online defamation.,It defines defamation laws in India.,It provides safe harbor for intermediaries in cases of online defamation.,It regulates the content on social media platforms.,It allows private complaints against online defamation.
240,"According to the Supreme Court in the Shreya Singhal v. Union of India case, under what circumstances should intermediaries act in response to content removal?",B,Upon a valid court order or government directive.,Upon receiving a private complaint.,Upon a valid court order or government directive.,Proactively to monitor content.,Only if the content is found to be defamatory.
241,How does the Indian legal system balance the Right to Freedom of Expression and the Right to Reputation in online defamation cases?,C,"By carefully examining the content, context, and intent of statements.",By favoring freedom of expression over reputation.,By favoring reputation over freedom of expression.,"By carefully examining the content, context, and intent of statements.",By absolving intermediaries of their responsibilities.
242,"In an online defamation case, what must the plaintiff prove about the defamatory statement?",D,"That it was false, damaging to their reputation, and made with a degree of fault.",That it was political activism.,That it was made with good intentions.,That it was true and intended to inform the public.,"That it was false, damaging to their reputation, and made with a degree of fault."
243,What is the role of intermediaries in the context of online defamation cases?,Withdrawn,Question withdrawn,Question withdrawn,Question withdrawn,Question withdrawn,Question withdrawn
244,"The PRP Bill defines ""newspaper"" to mean a periodical of loose-folded sheets usually printed on newsprint and brought out daily or at least once in a week, containing information on current events, public news or comments on public news. Who among the following is covered by the definition of newspaper?",C,Mr. Z publishing news content in print media on weekly basis.,Mr. X publishing news content on digital media.,Mr. Y publishing books containing the comments of the public on public news.,Mr. Z publishing news content in print media on weekly basis.,All of the above.
245,Who among the following is not eligible to publish a periodical as per the PRP Bill?,A,Mr. A convicted of waging war against Government of India.,Mr. A convicted of waging war against Government of India.,"Mr. B, accused of unlawful activities under the Unlawful Activities Prevention Act.","Mr. C, accused of terrorist activities under the Unlawful Activities Prevention Act.",All of the above.
